Feature,Item,Period1,Period2,Period3,Period4,Period5,Period6,Period7,Period8,Period9,Period10,Period11,Period12,Period13
BF1,101,,,,1,,,,,,,1,,
BF1,231,,,,,,1,,,,,,,
BF1,232,,,,,,,,,,1,,,
BF1,233,,,,,,,,,,1,,,
BF1,234,,,,,,1,,,,,,,
BF1,235,,,,,,,,,,1,,,
BF1,236,,,,,,1,,,,,,,
BG1,2110,,,1,,,,,,,,,,
BG2,2111,,,1,,,,,,,,,,
BH1,101,,,,1,,,,,,,1,,
BH1,103,,1,,,,,,,,,,,
BH1,301,,,,,,,,,,,1,,
BH1,305,1,,,,,,,,,,,,
BH2,303,,,,,,,,,,,,,1
BH3,302,,,,,,,,,,,,1,
BR1,101,,,,1,,,,,,,1,,
BR1,103,,1,,,,,,,,,,,
BR1,204,,,,,,,,,,,,,1
BR1,206,,,,,,,,,,,1,,
BR1,207,,1,,,,,,,,,,,
BR2,3005,,,,1,1,1,1,,1,1,,,
BR2,3036,,,,,,,,,,,,,1
BR2,3037,,,1,,,,,,,,,,
BS1,101,,,,1,,,,,,,1,,
BS1,103,,1,,,,,,,,,,,
BS1,154,,,1,,,,,,,,,,
BS1,156,,,1,,1,,1,,,,,,
BV2,156,,1,,,1,,1,,,,,,
BV2,3005,,,,1,1,1,1,,1,1,,,
BV2,3036,,,1,,,,,,,,,,
BV2,3037,,,1,,,,,,,,,,
BZG,621,,1,,,,,,,,,,,
BZG,623,,,1,,,,,,,,,,
BZG,627,,1,,,,,,,,,,,1
BZG,642,,,,,,,,,,,1,,
CAA,1037,,,1,,,,,,,,,,
COT,521,,,,1,,,,,,,,,
CSQ,546,,,,1,,1,,1,,,,,
CSQ,551,,,1,,,,,,,,,,
CSQ,555,,,,,,,,,,1,,,
FPC,1041,,,,1,,,1,,,,,,
FPP,1040,,,,,1,,1,,1,,1,,
FPP,1041,,,,1,,,1,,,,,,
FPW,1041,,,,1,,,1,,,,,,
GA1,119,,,,1,,,,,,,1,,
GA2,120,,,,1,,,,,,,1,,
GAC,123,,,,1,,,,,,,1,,
GB1,131,,,,,1,,1,,,,1,,
GG1,115,,,,1,,,,,,,1,,
GM1,135,,,,,,,,1,1,1,,,
GM2,135,,,1,,,,,,,1,,1,
GM3,135,,,,,,,,,,1,,,
GM4,135,,,1,,1,,,,,1,,,
GM5,135,,,,,,,1,,,1,,,
GM6,135,,,,,,,,,1,,1,,
GO1,102,,,,,,,,,,,1,,
GO1,106,,,,,,,,,,,1,1,
GV0,3002,,1,,,,,,,,,,,
GV1,3002,,1,,,,,,,,,,,
GZ1,1042,1,,,,,,,,,,,,
HA2,2025,,,,,,1,,1,,,,,
HA3,2030,,,,,,1,,1,,,,,
HE1,351,,,,,1,,1,,1,,,,
KSA,103,,1,,,,,,,,,,,
KSS,103,,1,,,,,,,,,,,
KSS,1040,,,,,1,,1,,1,,1,,
PBD,847,,,1,,,,,,,,,,
PBP,845,,,,1,,,1,,,,,,
PF2,408,,,,1,,,,,,,,,
PRV,408,,,,1,,,,,,,,,
TCH,791,,,,,,,,,,,,1,1
TCH,792,,,1,,,,,,,,,,
WDA,2035,1,,,,,,,,,,,,
WDM,1078,1,,,,,,,,,,,,
WSM,1075,1
